family,method,defense,backends,c_bu_pp,c_ua_pp,g_asr_pp
System-level,Tool Filter,tool_filter,14,48.57119047619047,43.92100529100529,17.54550264550264
System-level,CaMeL,camel,12,46.945,41.68666666666667,18.74583333333333
System-level,Progent,progent,14,37.97666666666667,32.41140211640212,14.410291005291
System-level,DRIFT,drift,14,26.54809523809524,22.53222222222222,16.47891534391534
Detection,PromptGuard2,prompt_guard_2_detector,14,3.334285714285715,20.68140211640212,5.547380952380952
Detection,PIGuard,piguard_detector,14,39.52404761904762,42.50957671957672,17.4739417989418
Detection,ProtectAI,transformers_pi_detector,14,49.28404761904762,44.96574074074074,18.2141798941799
Prevention,Prompt Sandwiching,repeat_user_prompt,14,2.024285714285714,-0.1712962962962952,3.612195767195767
Prevention,Spotlighting,spotlighting_with_delimiting,14,4.763095238095238,1.48510582010582,4.522936507936508
