model,model_paper,defense,defense_paper,metric,suite,value_pct,value_raw
gpt-5-mini,GPT-5-mini,repeat_user_prompt,Prompt Sandwiching,benign_utility,shopping,60.0,60.00
gpt-5-mini,GPT-5-mini,repeat_user_prompt,Prompt Sandwiching,benign_utility,github,75.0,75.00
gpt-5-mini,GPT-5-mini,repeat_user_prompt,Prompt Sandwiching,benign_utility,dailylife,85.0,85.00
gemini-2.5-pro,Gemini-2.5 Pro,repeat_user_prompt,Prompt Sandwiching,benign_utility,overall,51.67,51.67
gemini-2.5-pro,Gemini-2.5 Pro,repeat_user_prompt,Prompt Sandwiching,benign_utility,shopping,35.0,35.00
gemini-2.5-pro,Gemini-2.5 Pro,repeat_user_prompt,Prompt Sandwiching,benign_utility,github,55.0,55.00
gemini-2.5-pro,Gemini-2.5 Pro,repeat_user_prompt,Prompt Sandwiching,benign_utility,dailylife,65.0,65.00
gemini-2.5-flash,Gemini-2.5 Flash,repeat_user_prompt,Prompt Sandwiching,benign_utility,overall,16.67,16.67
gemini-2.5-flash,Gemini-2.5 Flash,repeat_user_prompt,Prompt Sandwiching,benign_utility,shopping,10.0,10.00
gemini-2.5-flash,Gemini-2.5 Flash,repeat_user_prompt,Prompt Sandwiching,benign_utility,github,20.0,20.00
gemini-2.5-flash,Gemini-2.5 Flash,repeat_user_prompt,Prompt Sandwiching,benign_utility,dailylife,20.0,20.00
claude-sonnet-3.5,Claude-Sonnet-3.5,repeat_user_prompt,Prompt Sandwiching,benign_utility,overall,56.67,56.67
claude-sonnet-3.5,Claude-Sonnet-3.5,repeat_user_prompt,Prompt Sandwiching,benign_utility,shopping,40.0,40.00
claude-sonnet-3.5,Claude-Sonnet-3.5,repeat_user_prompt,Prompt Sandwiching,benign_utility,github,65.0,65.00
claude-sonnet-3.5,Claude-Sonnet-3.5,repeat_user_prompt,Prompt Sandwiching,benign_utility,dailylife,65.0,65.00
claude-sonnet-4.5,Claude-Sonnet-4.5,repeat_user_prompt,Prompt Sandwiching,benign_utility,overall,70.0,70.00
claude-sonnet-4.5,Claude-Sonnet-4.5,repeat_user_prompt,Prompt Sandwiching,benign_utility,shopping,55.0,55.00
claude-sonnet-4.5,Claude-Sonnet-4.5,repeat_user_prompt,Prompt Sandwiching,benign_utility,github,70.0,70.00
claude-sonnet-4.5,Claude-Sonnet-4.5,repeat_user_prompt,Prompt Sandwiching,benign_utility,dailylife,85.0,85.00
qwen3-235b,Qwen3 235B-A22B,repeat_user_prompt,Prompt Sandwiching,benign_utility,overall,16.67,16.67
qwen3-235b,Qwen3 235B-A22B,repeat_user_prompt,Prompt Sandwiching,benign_utility,shopping,5.0,5.00
qwen3-235b,Qwen3 235B-A22B,repeat_user_prompt,Prompt Sandwiching,benign_utility,github,15.0,15.00
qwen3-235b,Qwen3 235B-A22B,repeat_user_prompt,Prompt Sandwiching,benign_utility,dailylife,30.0,30.00
llama-3.3-70b,Llama 3.3 70B,repeat_user_prompt,Prompt Sandwiching,benign_utility,overall,5.0,5.00
llama-3.3-70b,Llama 3.3 70B,repeat_user_prompt,Prompt Sandwiching,benign_utility,shopping,0.0,0.00
llama-3.3-70b,Llama 3.3 70B,repeat_user_prompt,Prompt Sandwiching,benign_utility,github,5.0,5.00
llama-3.3-70b,Llama 3.3 70B,repeat_user_prompt,Prompt Sandwiching,benign_utility,dailylife,10.0,10.00
qwen3-coder,Qwen3-Coder,repeat_user_prompt,Prompt Sandwiching,benign_utility,overall,23.33,23.33
qwen3-coder,Qwen3-Coder,repeat_user_prompt,Prompt Sandwiching,benign_utility,shopping,0.0,0.00
qwen3-coder,Qwen3-Coder,repeat_user_prompt,Prompt Sandwiching,benign_utility,github,30.0,30.00
qwen3-coder,Qwen3-Coder,repeat_user_prompt,Prompt Sandwiching,benign_utility,dailylife,40.0,40.00
kimi-k2.5,Kimi-K2.5,repeat_user_prompt,Prompt Sandwiching,benign_utility,overall,56.67,56.67
kimi-k2.5,Kimi-K2.5,repeat_user_prompt,Prompt Sandwiching,benign_utility,shopping,25.0,25.00
kimi-k2.5,Kimi-K2.5,repeat_user_prompt,Prompt Sandwiching,benign_utility,github,70.0,70.00
kimi-k2.5,Kimi-K2.5,repeat_user_prompt,Prompt Sandwiching,benign_utility,dailylife,75.0,75.00
gpt-4o-mini,GPT-4o mini,spotlighting_with_delimiting,Spotlighting,benign_utility,overall,38.33,38.33
gpt-4o-mini,GPT-4o mini,spotlighting_with_delimiting,Spotlighting,benign_utility,shopping,25.0,25.00
gpt-4o-mini,GPT-4o mini,spotlighting_with_delimiting,Spotlighting,benign_utility,github,50.0,50.00
gpt-4o-mini,GPT-4o mini,spotlighting_with_delimiting,Spotlighting,benign_utility,dailylife,40.0,40.00
gpt-4o,GPT-4o,spotlighting_with_delimiting,Spotlighting,benign_utility,overall,55.0,55.00
gpt-4o,GPT-4o,spotlighting_with_delimiting,Spotlighting,benign_utility,shopping,40.0,40.00
gpt-4o,GPT-4o,spotlighting_with_delimiting,Spotlighting,benign_utility,github,65.0,65.00
gpt-4o,GPT-4o,spotlighting_with_delimiting,Spotlighting,benign_utility,dailylife,60.0,60.00
gpt-5.1,GPT-5.1,spotlighting_with_delimiting,Spotlighting,benign_utility,overall,56.67,56.67
gpt-5.1,GPT-5.1,spotlighting_with_delimiting,Spotlighting,benign_utility,shopping,45.0,45.00
gpt-5.1,GPT-5.1,spotlighting_with_delimiting,Spotlighting,benign_utility,github,70.0,70.00
gpt-5.1,GPT-5.1,spotlighting_with_delimiting,Spotlighting,benign_utility,dailylife,55.0,55.00
gpt-5-mini,GPT-5-mini,spotlighting_with_delimiting,Spotlighting,benign_utility,overall,68.33,68.33
gpt-5-mini,GPT-5-mini,spotlighting_with_delimiting,Spotlighting,benign_utility,shopping,60.0,60.00
gpt-5-mini,GPT-5-mini,spotlighting_with_delimiting,Spotlighting,benign_utility,github,65.0,65.00
gpt-5-mini,GPT-5-mini,spotlighting_with_delimiting,Spotlighting,benign_utility,dailylife,80.0,80.00
gemini-2.5-pro,Gemini-2.5 Pro,spotlighting_with_delimiting,Spotlighting,benign_utility,overall,58.33,58.33
gemini-2.5-pro,Gemini-2.5 Pro,spotlighting_with_delimiting,Spotlighting,benign_utility,shopping,35.0,35.00
gemini-2.5-pro,Gemini-2.5 Pro,spotlighting_with_delimiting,Spotlighting,benign_utility,github,75.0,75.00
gemini-2.5-pro,Gemini-2.5 Pro,spotlighting_with_delimiting,Spotlighting,benign_utility,dailylife,65.0,65.00
gemini-2.5-flash,Gemini-2.5 Flash,spotlighting_with_delimiting,Spotlighting,benign_utility,overall,13.33,13.33
gemini-2.5-flash,Gemini-2.5 Flash,spotlighting_with_delimiting,Spotlighting,benign_utility,shopping,0.0,0.00
gemini-2.5-flash,Gemini-2.5 Flash,spotlighting_with_delimiting,Spotlighting,benign_utility,github,15.0,15.00
gemini-2.5-flash,Gemini-2.5 Flash,spotlighting_with_delimiting,Spotlighting,benign_utility,dailylife,25.0,25.00
claude-sonnet-3.5,Claude-Sonnet-3.5,spotlighting_with_delimiting,Spotlighting,benign_utility,overall,58.33,58.33
claude-sonnet-3.5,Claude-Sonnet-3.5,spotlighting_with_delimiting,Spotlighting,benign_utility,shopping,40.0,40.00
claude-sonnet-3.5,Claude-Sonnet-3.5,spotlighting_with_delimiting,Spotlighting,benign_utility,github,70.0,70.00
claude-sonnet-3.5,Claude-Sonnet-3.5,spotlighting_with_delimiting,Spotlighting,benign_utility,dailylife,65.0,65.00
claude-sonnet-4.5,Claude-Sonnet-4.5,spotlighting_with_delimiting,Spotlighting,benign_utility,overall,68.33,68.33
claude-sonnet-4.5,Claude-Sonnet-4.5,spotlighting_with_delimiting,Spotlighting,benign_utility,shopping,55.0,55.00
claude-sonnet-4.5,Claude-Sonnet-4.5,spotlighting_with_delimiting,Spotlighting,benign_utility,github,65.0,65.00
claude-sonnet-4.5,Claude-Sonnet-4.5,spotlighting_with_delimiting,Spotlighting,benign_utility,dailylife,85.0,85.00
qwen3-235b,Qwen3 235B-A22B,spotlighting_with_delimiting,Spotlighting,benign_utility,overall,20.0,20.00
qwen3-235b,Qwen3 235B-A22B,spotlighting_with_delimiting,Spotlighting,benign_utility,shopping,5.0,5.00
qwen3-235b,Qwen3 235B-A22B,spotlighting_with_delimiting,Spotlighting,benign_utility,github,15.0,15.00
qwen3-235b,Qwen3 235B-A22B,spotlighting_with_delimiting,Spotlighting,benign_utility,dailylife,40.0,40.00
llama-3.3-70b,Llama 3.3 70B,spotlighting_with_delimiting,Spotlighting,benign_utility,overall,10.0,10.00
llama-3.3-70b,Llama 3.3 70B,spotlighting_with_delimiting,Spotlighting,benign_utility,shopping,0.0,0.00
llama-3.3-70b,Llama 3.3 70B,spotlighting_with_delimiting,Spotlighting,benign_utility,github,5.0,5.00
llama-3.3-70b,Llama 3.3 70B,spotlighting_with_delimiting,Spotlighting,benign_utility,dailylife,25.0,25.00
qwen3-coder,Qwen3-Coder,spotlighting_with_delimiting,Spotlighting,benign_utility,overall,16.67,16.67
qwen3-coder,Qwen3-Coder,spotlighting_with_delimiting,Spotlighting,benign_utility,shopping,0.0,0.00
qwen3-coder,Qwen3-Coder,spotlighting_with_delimiting,Spotlighting,benign_utility,github,25.0,25.00
